detailLink,laptopName,brandName,screenSize,screenWidth,screenHeight,screenResolution,processors,diskType,storage,graphicCard,weight,durability,newPrice,secondPrice,ram
https://iprice.co.id/harga/hp-envy-x360-13-inch/,HP Envy x360 13-inch,HP,13.3,1920,1080,1920x1080,AMD Ryzen 7 5800U,SSD,512,AMD Radeon™,1.3,5,5839000,5500000,16
https://iprice.co.id/harga/lenovo-ideapad-slim-3-14ada05/,Lenovo IdeaPad Slim 3 14ADA05,Lenovo,14,1920,1080,1920x1080,AMD Athlon Silver 3050U,SSD,256,Integrated AMD Radeon Graphics,1.6,7.5,3500000,3400000,4
https://iprice.co.id/harga/apple-macbook-pro-14-inch-2021/,Apple MacBook Pro 14-inch 2021,Apple,14.2,3024,1964,3024x1964,M1 Pro CPU 8-Core GPU 14-Core,SSD,512,Apple M1 GPU,1.5,11,24000000,15700000,16
https://iprice.co.id/harga/infinix-inbook-x1/,Infinix INBook X1,Infinix,14,1920,1080,1920x1080,Intel Core i3-1005G1,SSD,256,Intel UHD Graphics,1.48,13,4000000,3500000,8
https://iprice.co.id/harga/hp-envy-x360-15-inch/,HP Envy x360 15-inch,HP,15,1920,1080,1920x1080,Intel Core i5-1135G7,SSD,256,AMD Radeon Vega 7,2,53.2,5299000,4900000,8
https://iprice.co.id/harga/acer-swift-3-infinity-4-sf314-511/,Acer Swift 3 Infinity 4 SF314-511,Acer,14,1920,1080,1920x1080,Intel Core i5-1135G7,SSD,512,Intel Iris Xe Graphics,1.2,14,8000000,7000000,16
https://iprice.co.id/harga/apple-macbook-pro-13-inch-2019/,Apple Macbook Pro 13-inch 2019,Apple,13.3,2560,1600,2560x1600,Intel Core i5,SSD,128,Intel Iris Plus Graphics 645,1.37,10,13025000,7899000,8
https://iprice.co.id/harga/asus-vivobook-x441ma/,Asus VivoBook X441MA,Asus,14,1920,1080,1920x1080,Intel Celeron N4000,HDD,256,Intel HD Graphics,1.75,8,3099000,3100000,4
https://iprice.co.id/harga/infinix-inbook-x1-pro/,Infinix INBook X1 Pro,Infinix,14,1920,1080,1920x1080,Intel Core i7,SSD,512,Intel Iris Plus Graphics G7,1.48,13,4749000,5700000,16
https://iprice.co.id/harga/asus-vivobook-e410ma/,ASUS Vivobook E410MA,ASUS,14,1920,1080,1920x1080,Intel Celeron N4020,SSD,128,Intel UHD Graphics 600,1.3,11,2999000,2500000,4
https://iprice.co.id/harga/apple-macbook-air-m1-2020/,Apple Macbook Air M1 2020,Apple,13.3,2560,1600,2560x1600,M2 Chip CPU 8-core GPU 7-core,SSD,256,Apple M1 GPU,1.3,13,9472400,9200000,8
https://iprice.co.id/harga/lenovo-thinkpad-x270/,Lenovo ThinkPad X270,Lenovo,12.5,1366,768,1366x768,Intel Core i5-7200U,SSD,160,Intel HD Graphics 520,1.59,13.04,1835000,1700000,4
https://iprice.co.id/harga/asus-vivobook-m415-14-inch/,ASUS Vivobook M415 14-inch,ASUS,14,1920,1080,1920x1080,AMD Ryzen 3 3250U,SSD,256,AMD Radeon Graphics,1.6,4,3000000,3450000,16
https://iprice.co.id/harga/hp-14s-dq2614tu/,HP 14s-dq2614TU,HP,14,1920,1080,1920x1080,Intel Core i3-1115G4,SSD,512,Intel UHD Graphics,1.46,5,4874000,4950000,4
https://iprice.co.id/harga/infinix-inbook-x2/,Infinix INBook X2,Infinix,14,1920,1080,1920x1080,Intel Core i3-1005G1,SSD,256,Intel Iris Plus Graphics G7,1.24,10,4410000,3196100,8
https://iprice.co.id/harga/lenovo-ideapad-slim-3-14itl6/,Lenovo IdeaPad Slim 3 14ITL6,Lenovo,14,1920,1080,1920x1080,Intel Core i3-1115G4,SSD,256,Intel UHD Graphics,1.51,9,3899000,3900000,8
https://iprice.co.id/harga/lenovo-ideapad-slim-3-laptop/,Lenovo IdeaPad Slim 3 Laptop,Lenovo,14,1920,1080,1920x1080,Intel Core i3-10110U,HDD,256,Integrated Intel UHD Graphics,1.41,5.5,3999000,3200000,4
https://iprice.co.id/harga/asus-vivobook-14-a1402-a1402za/,ASUS Vivobook 14 (A1402) A1402Za,ASUS,14,1920,1080,1920x1080,Intel Core i5-1235U,SSD,512,Intel UHD Graphics,1.5,3.5,8085000,7500000,8
https://iprice.co.id/harga/microsoft-surface-pro-8/,Microsoft Surface Pro 8,Microsoft,10.5,1920,1280,1920x1280,Intel Core i5-1135G7,SSD,128,Intel Iris Xe Graphics G7 (96EU),0.54,11,9999999,11999000,8
https://iprice.co.id/harga/asus-vivobook-14-a416ja/,Asus VivoBook 14 A416JA,Asus,14,1920,1080,1920x1080,Intel Core i3-1005G1,SSD,256,Intel UHD Graphics,1.6,3,4450000,4400000,4
https://iprice.co.id/harga/lenovo-legion-5-pro/,Lenovo Legion 5 Pro,Lenovo,16,2560,1600,2560x1600,Intel Core i7,SSD,512,NVIDIA®GeForce RTX™ 3070,2.54,8,8900000,10000000,16
https://iprice.co.id/harga/xiaomi-redmibook-15/,Xiaomi RedmiBook 15,Xiaomi,15.6,1920,1080,1920x1080,Intel Core i3-1115G4,SSD,256,Intel UHD Graphics,1.8,10,3999000,3850000,8
https://iprice.co.id/harga/asus-vivobook-15-inch-oled-k513/,ASUS Vivobook 15-inch OLED K513,ASUS,15.6,1920,1080,1920x1080,Intel Core i3-1115G4,SSD,256,Intel UHD Graphics,1.8,2.5,3600000,5500000,8
https://iprice.co.id/harga/lenovo-ideapad-slim-3i-gen-6-14-inch/,Lenovo IdeaPad Slim 3i Gen 6 14-Inch,Lenovo,14,1920,1080,1920x1080,Intel Celeron N4020,SSD,256,Integrated Intel UHD Graphics,1.5,12,3949000,4100000,4
https://iprice.co.id/harga/hp-chromebook-11-g8-ee/,HP Chromebook 11 G8 EE,HP,11.6,1366,768,1366x768,Intel Celeron N4020,eMMC,32,Intel UHD Graphics 600,1.32,13.5,1354181,1189000,4
https://iprice.co.id/harga/lenovo-ideapad-flex-5/,Lenovo IdeaPad Flex 5,Lenovo,14,1920,1080,1920x1080,AMD Ryzen 3 5300U,SSD,128,AMD Integrated Graphics,1.6,12,5299000,5299000,4
https://iprice.co.id/harga/lenovo-ideapad-d330/,Lenovo IdeaPad D330,Lenovo,10.1,1920,1200,1920x1200,Intel Celeron N4000,eMMC,128,Intel UHD Graphics 600,1.5,13,2500000,2250000,4
https://iprice.co.id/harga/lenovo-v14-gen-2/,Lenovo V14 Gen 2,Lenovo,14,1920,1080,1920x1080,Intel Core i3-1115G4,SSD,256,Integrated AMD Radeon,1.5,8.5,4093000,4010000,4
https://iprice.co.id/harga/samsung-chromebook-4/,Samsung Chromebook 4,Samsung,11.6,1366,768,1366x768,Intel Celeron N4020,eMMC,32,Intel UHD Graphics 600,1.18,10,1350000,1599999,4
https://iprice.co.id/harga/asus-tuf-gaming-f15/,ASUS TUF Gaming F15,ASUS,15.6,1920,1080,1920x1080,Intel Core i5-10300H,SSD,512,NVIDIA GeForce GTX 1650,2.6,12,7000000,8500000,8
https://iprice.co.id/harga/apple-macbook-pro-13-inch-2022/,Apple MacBook Pro 13-inch 2022,Apple,13.3,2560,1600,2560x1600,M2 Chip CPU 8-core GPU 10-core,SSD,256,Apple M2,1.38,20,15723000,13050000,8
https://iprice.co.id/harga/apple-macbook-air-m2-2022/,Apple MacBook Air M2 2022,Apple,13.6,2560,1664,2560x1664,M2 Chip CPU 8-core GPU 8-core,SSD,256,Apple M2,1.24,18,14350000,14500000,8
https://iprice.co.id/harga/apple-macbook-air-15-inch-m2-2023/,Apple MacBook Air 15-inch M2 2023,Apple,15.3,2880,1864,2880x1864,M2 Chip CPU 8-core GPU 8-core,SSD,256,Apple M2,1.51,18,19299000,19515000,8
https://iprice.co.id/harga/lenovo-yoga-slim-7i-pro/,Lenovo Yoga Slim 7i Pro,Lenovo,14,2880,1800,2880x1800,Intel Core i5,SSD,512,Intel® Integrated,1.45,21,13779000,14999000,16
https://iprice.co.id/harga/asus-vivobook-pro-14-oled-m3400qa/,ASUS VivoBook Pro 14 OLED M3400QA,ASUS,14,2880,1800,2880x1800,AMD Ryzen 5 5600H,SSD,512,AMD Radeon Graphics,1.45,63,7899000,8250000,8
https://iprice.co.id/harga/asus-vivobook-e203mah/,Asus VivoBook E203MAH,Asus,11.6,1366,768,1366x768,Intel Celeron N4000,HDD,256,Intel Integrated HD Graphics,1.2,10,1850000,1827000,4
https://iprice.co.id/harga/asus-vivobook-pro-14x-oled/,ASUS Vivobook Pro 14X OLED,ASUS,14,2880,1800,2880x1800,Intel Core i5,SSD,512,Intel® Iris™ Plus Graphics,1.45,9,9502000,14500000,8
https://iprice.co.id/harga/dell-inspiron-15-3511/,Dell Inspiron 15 3511,Dell,15.6,1920,1080,1920x1080,Intel Core i3-1115G4,SSD,256,Intel® UHD Graphics,1.85,4,5199000,3950000,4
https://iprice.co.id/harga/asus-vivobook-14-a412fa/,ASUS VivoBook 14 A412FA,ASUS,14,1920,1080,1920x1080,Intel Pentium Gold 5405U,SSD,512,Intel UHD Graphics 620,1.5,2.5,3900000,3150000,4
https://iprice.co.id/harga/lenovo-thinkpad-t410/,Lenovo Thinkpad T410,Lenovo,14.1,1440,900,1440x900,Intel Core i5 i5-520M,SSD,128,NVIDIA Quadro NVS 3100M,2.27,8.3,1233500,1250000,2
https://iprice.co.id/harga/lenovo-v14-g3-iap/,Lenovo V14 G3 IAP,Lenovo,14,1920,1080,1920x1080,Intel Core i3-1215U,SSD,256,Intel Iris Xe Graphics,1.3,8.5,4399000,4999000,4
https://iprice.co.id/harga/acer-swift-3-infinity-4-sf314-511/,Acer Swift 3 Infinity 4 SF314-511,Acer,14,1920,1080,1920x1080,Intel Core i5-1135G7,SSD,512,Intel Iris Xe Graphics,1.2,14,8000000,7000000,16
https://iprice.co.id/harga/hp-14s-fq2002au/,HP 14s-fq2002AU,HP,14,1366,768,1366x768,AMD Ryzen 5 5625U,SSD,512,AMD Radeon Graphics,1.47,9,6774000,6250000,8
https://iprice.co.id/harga/apple-macbook-pro-16-inch-2019/,Apple MacBook Pro 16-inch 2019,Apple,16,3072,1920,3072x1920,Intel Core i7,SSD,512,AMD Radeon Pro 5300M,2,11,20800000,13600000,16
https://iprice.co.id/harga/lenovo-ideapad-slim-3-14igl05/,Lenovo IdeaPad Slim 3 14IGL05,Lenovo,14,1920,1080,1920x1080,Intel Celeron N4020,HDD,256,AMD Radeon Vega8,1.6,7.5,2699000,2500000,4
https://iprice.co.id/harga/asus-laptop-x441ba/,ASUS Laptop X441BA,ASUS,14,1366,768,1366x768,AMD A4,HDD,500,AMD RadeonTM R5 Graphics,1.8,10,2280000,2300000,4
https://iprice.co.id/harga/lenovo-ideapad-110-14-inch/,Lenovo IdeaPad 110 14-inch,Lenovo,14,1366,768,1366x768,Intel Celeron N3060,HDD,256,Integrated Intel®,2,3,2400000,3350000,2
https://iprice.co.id/harga/apple-macbook-pro-13-inch-2012/,Apple Macbook Pro 13-inch 2012,Apple,13.3,1280,800,1280x800,Intel Core i5,HDD,500,Intel HD Graphics 4000,2.06,7,1307200,1300000,4
https://iprice.co.id/harga/acer-aspire-5-slim-a514-54g/,Acer Aspire 5 Slim A514-54G,Acer,14,1920,1080,1920x1080,Intel Core i3-1115G4,SSD,512,NVDIA GeForce MX350,1.7,10,6299000,7399000,8
https://iprice.co.id/harga/lenovo-loq-15irh8/,Lenovo LOQ 15IRH8,Lenovo,15.6,1920,1080,1920x1080,Intel Core i5-12450H with NVIDIA GeForce RTX 3050,SSD,512,NVIDIA GeForce RTX 3050,2.4,8,13094000,18000000,8
https://iprice.co.id/harga/asus-tuf-dash-f15-2022-fx517zc/,ASUS TUF Dash F15 2022 FX517ZC,ASUS,15.6,1920,1080,1920x1080,Intel Core i5-12450H,SSD,512,NVIDIA GeForce RTX 3050,2,8,12999000,11950000,8
https://iprice.co.id/harga/asus-vivobook-14-k413ea/,ASUS VivoBook 14 K413EA,ASUS,14,1920,1080,1920x1080,Intel Core i3,SSD,512,Intel® UHD Graphics,1.4,3,7490000,4150000,8
https://iprice.co.id/harga/lenovo-ideapad-flex-5-15-inch/,Lenovo IdeaPad Flex 5 15-inch,Lenovo,14,1920,1080,1920x1080,Intel Core i7-1065G7,SSD,256,AMD Integrated Graphics,1.6,12,7149000,11500000,16
https://iprice.co.id/harga/asus-laptop-m409da/,ASUS Laptop M409DA,ASUS,14,1920,1080,1920x1080,AMD Athlon 3050U,SSD,512,AMD Radeon,1.6,8,2500000,3000000,4
https://iprice.co.id/harga/lenovo-thinkpad-t430/,Lenovo ThinkPad T430,Lenovo,14,1600,900,1600x900,Intel Core i5-3310M,SSD,128,Intel HD Graphics 4000,2.2,9.7,1475100,1400000,4
https://iprice.co.id/harga/lenovo-ideapad-slim-1i-14-inch-gen-7/,Lenovo IdeaPad Slim 1i 14-inch Gen 7,Lenovo,14,1366,768,1366x768,Intel Celeron N4020,SSD,256,Intel Integrated Graphics,1.6,8,3099000,3100000,4
https://iprice.co.id/harga/acer-aspire-acer-aspire-5-ryzen-5000-a515-45/,Acer Aspire Acer Aspire 5 Ryzen 5000 (A515-45),Acer,15.6,1920,1080,1920x1080,AMD Ryzen 3 5300U,SSD,512,AMD Radeon Graphics,1.76,10,6124300,6200000,8
https://iprice.co.id/harga/lenovo-v310/,Lenovo V310,Lenovo,14,1366,768,1366x768,Intel Core i3-6006U,SSD,128,Intel HD 6000,1.9,5,3105000,1862000,4
https://iprice.co.id/harga/lenovo-thinkpad-t450/,Lenovo ThinkPad T450,Lenovo,14,3840,2160,3840x2160,Intel Core i3-5010U,SSD,120,Intel HD Graphics 5500,1.9,19,2250000,1699000,4
https://iprice.co.id/harga/asus-laptop-x441ub/,ASUS Laptop X441UB,ASUS,14,1366,768,1366x768,Intel Core i3-7020U,HDD,1000,NVIDIA® GeForce® MX110,1.75,8,4683000,4800000,4
https://iprice.co.id/harga/asus-rog-strix-g15-g513qm/,ASUS ROG Strix G15 G513QM,ASUS,15.6,1920,1080,1920x1080,AMD Ryzen 9 5900HX,SSD,1000,NVIDIA GeForce RTX 3060,2.3,90,15500000,13000000,16
https://iprice.co.id/harga/lenovo-yoga-duet-7i/,Lenovo Yoga Duet 7i,Lenovo,13,2160,1350,2160x1350,Intel Core i5,SSD,512,Intel® Iris® Xe,1.17,16,15499000,16499999,8
https://iprice.co.id/harga/acer-aspire-5-a514-52g/,Acer Aspire 5 A514-52G,Acer,14,1366,768,1366x768,Intel Core i5-10210U,SSD,512,NVIDIA Geforce MX350,1.6,14,3300000,4850000,4
https://iprice.co.id/harga/asus-vivobook-ultra-a412fl/,ASUS VivoBook Ultra A412FL,ASUS,14,1920,1080,1920x1080,Intel Core i5,SSD,1000,Nvidia GeForce MX250,1.5,37,5400000,4499000,4
https://iprice.co.id/harga/dell-latitude-7290/,Dell Latitude 7290,Dell,13.3,1920,1080,1920x1080,Intel Core i5-8350U,SSD,128,Intel UHD Graphics 620,1.1,12,3000000,1840000,4
https://iprice.co.id/harga/asus-rog-strix-g16-2023-g614ju/,ASUS ROG Strix G16 2023 G614JU,ASUS,15.6,1920,1080,1920x1080,Intel Core i7-13650HX,SSD,512,NVIDIA GeForce RTX 4050,2.4,48,21899000,19990000,16
